Pro-Israeli sources on Twitter,Anti Israeli sources on Twitter
https://twitter.com/norabf,https://twitter.com/BDSmovement
https://twitter.com/TheMossadIL,https://twitter.com/intifada
https://twitter.com/Ostrov_A,https://twitter.com/intifada
https://twitter.com/UKMediaWatch,https://twitter.com/jvplive
https://twitter.com/AmbDaniDayan,https://twitter.com/NationalSJP
https://twitter.com/UniteWithIsrael,https://twitter.com/Mondoweiss
https://twitter.com/StandWithUs,https://twitter.com/AliAbunimah
https://twitter.com/israelproject,https://twitter.com/ISMPalestine
https://twitter.com/WorldJewishCong,https://twitter.com/PACBI
https://twitter.com/idfonline,https://twitter.com/theIMEU
https://twitter.com/Israel,https://twitter.com/ipsc48
https://twitter.com/CUFI,https://twitter.com/BDSsouthafrica
https://twitter.com/CAMERAorg,https://twitter.com/MiddleEastEye
https://twitter.com/HananyaNaftali,https://twitter.com/pal_legal
https://twitter.com/Algemeiner,https://twitter.com/HatemBazian
https://twitter.com/reservistsduty,https://twitter.com/AsaWinstanley
https://twitter.com/MsJulieLenarz
https://twitter.com/israelunderfire
https://twitter.com/AvivaKlompas
https://twitter.com/no2bds
https://twitter.com/IsraelinUN
https://twitter.com/HonestReporting
